IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.140.235,4,4,0.00,120.16,4.57
162.159.133.164,4,4,0.00,115.69,2.59
162.159.142.168,4,4,0.00,122.43,2.20
162.159.130.134,4,4,0.00,116.55,2.00
162.159.129.68,4,4,0.00,117.06,0.95
162.159.143.225,4,4,0.00,119.51,0.89
162.159.128.180,4,4,0.00,114.56,0.88
104.25.251.31,4,4,0.00,76.20,0.12
104.25.250.13,4,4,0.00,80.42,0.08
104.25.245.27,4,4,0.00,79.74,0.05
