IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.50.64,4,4,0.00,175.68,22.46
162.159.35.235,4,4,0.00,163.25,21.58
104.16.58.254,4,4,0.00,172.43,20.56
104.16.43.174,4,4,0.00,176.15,18.90
104.16.56.117,4,4,0.00,169.61,18.86
162.159.17.81,4,4,0.00,165.73,18.08
104.16.47.173,4,4,0.00,172.18,17.47
104.16.12.241,4,4,0.00,151.68,0.00
104.16.4.62,4,4,0.00,158.21,0.00
198.41.212.148,4,4,0.00,158.44,0.00
